"Version","Date_YYY-MM-DD","Time_HST","File_or_Group","Counts"
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-ADMBTerminal-macos10-xcode8-32bit.dmg",30
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-ADMBTerminal-macos10-xcode8-64bit.dmg",241
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-ADMBTerminal-macos10.4-xcode10-64bit.dmg",12
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-centos6-amdopencc-64bit.zip",2
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-centos6-intelicpc2013-64bit.zip",11
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-centos6-solarisstudio12-64bit.zip",2
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-centos7-gcc-64bit.zip",25
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-fedora26-gcc7-32bit.zip",2
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-fedora26-gcc7-64bit.zip",4
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-macos10-xcode8-32bit.zip",8
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-macos10-xcode8-64bit.zip",71
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-src.zip",502
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-ubuntu14-64bit.zip",20
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-ubuntu14-64bit_12.0.deb",16
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-ubuntu16-64bit.zip",110
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-ubuntu16-64bit_12.0.deb",33
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-windows10-mingw32.exe",128
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-windows10-mingw32.zip",21
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-windows10-mingw64.exe",790
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-windows10-mingw64.zip",58
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-windows10-vc12-32bit.exe",16
"ADMB-12.0","2019-03-12","12:29:00","admb-12.0-windows10-vc12-32bit.zip",8
